Feature Name,Formula / Calculation,Purpose,Business Significance,Expected Impact on Customer Segmentation
Customer_Age,Current Year - Year_Birth,Determine the customer's age.,Helps identify age-based customer segments and purchasing patterns.,Separates customers into different age-related behavioral groups.
Customer_Tenure_Years,(Latest Customer Date - Dt_Customer) / 365.25,Measure how long the customer has been associated with the company.,Helps distinguish new customers from long-term customers.,"Helps identify loyal, new, and established customer groups."
Total_Children,Kidhome + Teenhome,Calculate the total number of children and teenagers in the household.,Household composition may influence purchasing behavior.,Helps identify family-oriented customer segments.
Family_Size,1 + Kidhome + Teenhome,Estimate household size based on children and teenagers.,Provides information about household structure.,Helps distinguish customers based on household characteristics.
Total_Spending,MntWines + MntFruits + MntMeatProducts + MntFishProducts + MntSweetProducts + MntGoldProds,Calculate the customer's total spending across product categories.,Represents the overall monetary value generated by a customer.,Helps identify high-value and low-value customers.
Total_Purchases,NumWebPurchases + NumCatalogPurchases + NumStorePurchases,Calculate the total number of purchases across shopping channels.,Measures overall purchasing frequency.,Helps identify frequent and infrequent buyers.
Total_Campaign_Acceptance,AcceptedCmp1 + AcceptedCmp2 + AcceptedCmp3 + AcceptedCmp4 + AcceptedCmp5,Count the number of marketing campaigns accepted by each customer.,Measures customer responsiveness to marketing campaigns.,Helps identify campaign-responsive and less-responsive customers.
Average_Spending_per_Purchase,Total_Spending / Total_Purchases,Measure the average spending associated with each purchase.,Shows the customer's approximate spending value per purchase.,Helps distinguish high-value purchasers from low-value frequent purchasers.
Digital_Engagement,NumWebPurchases + NumWebVisitsMonth,Measure customer interaction with digital channels.,Indicates how actively customers interact with the company's website and online purchasing channel.,Helps identify digitally engaged customers.
Deal_Dependency,NumDealsPurchases / Total_Purchases,Measure the proportion of purchases made using deals or discounts.,Indicates customer sensitivity to promotional offers.,Helps identify discount-dependent and price-sensitive customers.
Preferred_Shopping_Channel,"Channel with the highest number of purchases among Web, Catalog, and Store.",Identify the customer's most frequently used purchasing channel.,Shows the customer's preferred method of shopping.,"Helps distinguish online, catalog, and store-oriented customers."
Product_Preference,Product category with the highest spending.,Identify the customer's dominant product category.,Provides insight into individual customer product preferences.,Helps create product-oriented customer groups.
Customer_Activity_Level,Categorization based on customer engagement and purchasing activity.,Classify customers according to their overall activity level.,"Helps identify active, moderately active, and inactive customers.",Helps distinguish customers requiring retention or re-engagement strategies.
